Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A)
B. cf. aculeatus;41.98565177;0.828079484;20;4.288434499;1.975870969
B. cf. aculeatus;52.50906254;0.813483481;43;4.276929468;2.21811707
B. cf. aculeatus;49.48112156;0.805454658;39;4.208203029;2.164271288
B. cf. aculeatus;39.62531092;0.800788412;44;4.074639854;1.958033351
B. cf. aculeatus;44.27140873;0.81479649;40;4.221989479;2.042801579
B. cf. aculeatus;43.77472986;0.834807297;24;4.428628867;2.003893582
B. cf. aculeatus;39.68108373;0.748842553;21;3.415514322;2.078926123
B. cf. aculeatus;48.17483442;0.831672464;47;4.413924591;2.098418196
B. cf. aculeatus;45.64572276;0.812310966;46;4.208613937;2.074530512
B. cf. aculeatus;44.44505258;0.768845563;25;3.89486693;2.177851624
B. cf. aculeatus;57.42602398;0.848465499;37;4.55971769;2.273050251
B. cf. aculeatus;37.53108509;0.782750103;32;4.097807609;1.935792831
B. cf. aculeatus;36.85967258;0.797649069;48;4.026135514;1.903181103
B. cf. aculeatus;45.84269836;0.820442629;36;4.27647098;2.06818414
B. cf. aculeatus;36.38105345;0.755101336;19;3.681789422;2.034022582
B. cf. aculeatus;58.02656309;0.848813315;32;4.568835299;2.280294422
B. cf. aculeatus;56.1499147;0.830097975;43;4.503351408;2.2589927
B. cf. aculeatus;34.8386003;0.784885599;45;3.95543285;1.872646159
B. cf. aculeatus;57.21059495;0.828827554;22;4.358209952;2.280943208
B. cf. aculeatus;39.15489944;0.778649015;40;3.976100747;2.030741393
B. cf. aculeatus;38.11641529;0.734178931;21;3.386698167;2.052093928
B. cf. aculeatus;47.45735005;0.831791572;43;4.404763611;2.083446517
B. cf. aculeatus;33.81715037;0.751601768;46;3.729873105;1.934429651
B. cf. aculeatus;48.80924041;0.799038404;37;4.097963444;2.145086045
B. cf. aculeatus;38.14016347;0.796685921;24;4.017669321;1.922676561
B. cf. aculeatus;65.44887518;0.809557211;14;4.558913257;2.477135179
B. cf. aculeatus;43.99815263;0.769934098;28;3.782125266;2.09331274
B. cf. aculeatus;55.48685492;0.820299772;49;4.364818547;2.268300085
B. cf. aculeatus;43.75329006;0.775619432;45;3.910572819;2.158924399
B. cf. aculeatus;53.52318363;0.853990583;43;4.570922451;2.185625432
