10 points;20 points;30 points;40 points;50 points;60 points;70 points;80 points;90 points;100 points;125 points;150 points;175 points;200 points;400 points;600 points;800 points;1000 points;1500 points
;;;;;;;;;;;;36.36873328;17.23482494;47.72806803;9.165515316;15.61466519;;
;;;;;;;;;;;;18.04906131;44.52010743;46.03578138;39.28064419;31.21121248;;
;;;;;;;;;;;;45.22301307;47.826229;48.03952045;43.44002367;26.31146087;;
;;;;;;;;;;;;35.52701282;47.28624428;46.4460389;12.95363465;47.14936891;;
;;;;;;;;;;;;12.68634958;40.38116006;20.04992587;39.39393798;43.26764065;;
;;;;;;;;;;;;49.46339686;47.7906293;43.46689401;47.11485446;48.89138529;;
;;;;;;;;;;;;42.59811316;31.02412109;40.81148962;38.62834554;35.5391522;;
;;;;;;;;;;;;46.18198651;25.06890262;20.69336173;38.26521776;18.42899249;;
;;;;;;;;;;;;52.65342113;41.46961634;32.77675946;20.84348101;22.32887142;;
;;;;;;;;;;;;20.2853937;39.94061895;21.07990237;34.43636302;42.24269119;;
;;;;;;;;;;;;18.78114809;27.09005104;10.87269035;50.06310219;57.6413521;;
;;;;;;;;;;;;37.17484667;29.94177983;46.4464384;18.49143598;25.54006553;;
;;;;;;;;;;;;31.65959244;22.22853338;27.66980805;42.93139472;32.89203274;;
;;;;;;;;;;;;55.88745815;42.63206054;21.39581959;23.80888012;44.98853592;;
;;;;;;;;;;;;44.31185469;33.11046015;27.61821111;47.38121179;33.37162441;;
;;;;;;;;;;;;41.43517405;49.99734848;20.70614517;12.39092805;39.5602881;;
;;;;;;;;;;;;21.41336103;46.29982319;19.23105639;42.58604073;41.06852963;;
;;;;;;;;;;;;25.25786902;39.24872869;37.55144968;32.25920161;38.40507055;;
;;;;;;;;;;;;;45.62070073;21.89534934;47.30333537;40.69751169;;
;;;;;;;;;;;;;31.49640786;50.01687329;34.31282757;35.46323941;;
;;;;;;;;;;;;;24.11241853;10.31488597;40.64619835;65.88128252;;
;;;;;;;;;;;;;45.0190294;30.45651596;37.865651;27.58420523;;
;;;;;;;;;;;;;43.13843294;26.47481764;36.31705361;46.57029394;;
;;;;;;;;;;;;;26.11454114;26.75629329;27.52393354;41.33068165;;
;;;;;;;;;;;;;45.5197088;38.41733225;52.60155366;41.88496269;;
;;;;;;;;;;;;;33.83657475;45.48094166;28.25505475;30.32387895;;
;;;;;;;;;;;;;24.67683309;43.22749241;38.79797421;29.86574572;;
;;;;;;;;;;;;;42.00618407;33.76105226;24.69638086;52.53032884;;
;;;;;;;;;;;;;21.22215812;45.15522614;16.89470671;53.53037684;;
;;;;;;;;;;;;;26.52840824;40.08910801;22.32388291;33.87557858;;
;;;;;;;;;;;;;38.38798908;45.99793398;20.48131417;47.54837248;;
;;;;;;;;;;;;;35.27692648;40.66587521;42.59564069;47.23446636;;
;;;;;;;;;;;;;45.00393689;27.59012833;11.78304837;51.87672407;;
;;;;;;;;;;;;;50.14051707;41.83021528;44.39808355;20.30896804;;
;;;;;;;;;;;;;41.34629966;21.99679295;16.8386423;42.23627444;;
;;;;;;;;;;;;;41.35662633;44.87790067;46.8597571;27.21925337;;
;;;;;;;;;;;;;55.15216161;25.58233954;38.99929391;22.90302999;;
;;;;;;;;;;;;;17.82278816;27.65813895;45.18569709;21.03521508;;
;;;;;;;;;;;;;46.02350877;45.07909702;28.23160093;18.66771896;;
;;;;;;;;;;;;;40.97101829;18.45980593;31.24005023;50.33409635;;
;;;;;;;;;;;;;40.8767054;41.46431834;25.41247136;26.77063393;;
;;;;;;;;;;;;;33.25618497;25.83285716;26.13948899;15.5410049;;
;;;;;;;;;;;;;34.93382269;43.39725892;21.24122003;46.04889552;;
;;;;;;;;;;;;;;25.86393939;51.19046359;11.00510695;;
;;;;;;;;;;;;;;49.60483682;37.67430948;16.45978355;;
;;;;;;;;;;;;;;35.59803523;43.17864913;17.30819071;;
;;;;;;;;;;;;;;31.67492743;34.298531;25.66156266;;
;;;;;;;;;;;;;;30.76148021;46.47975026;24.82982008;;
;;;;;;;;;;;;;;32.94397372;26.68864186;26.10821269;;
;;;;;;;;;;;;;;41.90532615;49.10957881;8.979725013;;
;;;;;;;;;;;;;;40.58839111;50.28979673;39.3660851;;
;;;;;;;;;;;;;;18.83077665;40.06614679;40.98781901;;
;;;;;;;;;;;;;;25.77716783;42.23111082;20.01848572;;
;;;;;;;;;;;;;;16.34955928;26.89082128;42.1737868;;
;;;;;;;;;;;;;;30.47285744;51.4483057;44.29095236;;
;;;;;;;;;;;;;;17.63528698;41.49081771;38.9035115;;
;;;;;;;;;;;;;;40.75815944;51.53200582;28.69550947;;
;;;;;;;;;;;;;;32.57967614;22.21749336;22.9123059;;
;;;;;;;;;;;;;;44.38825844;19.58711914;14.86002495;;
;;;;;;;;;;;;;;41.39623197;40.32002961;23.09048407;;
;;;;;;;;;;;;;;39.324056;20.07719946;53.74032844;;
;;;;;;;;;;;;;;53.92019972;42.70294542;41.04303242;;
;;;;;;;;;;;;;;7.666264824;18.95427922;27.82113391;;
;;;;;;;;;;;;;;39.79934407;39.06830006;35.11145354;;
;;;;;;;;;;;;;;33.87959156;30.46569622;42.61651086;;
